tier;score;distance;vocab_id;vocab_type;vocab_label;vocab_lang;artwork_count;edm_uri;edm_pref_label;edm_alt_label;edm_all_alts;already_in_db;notes
5;0.864;3;21095645;group;Kunsthandel Van Delden;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.16245;Kunsthandel Van Iperen;Iperen, Kunsthandel Van;Iperen, Kunsthandel Van;false;fuzzy token_set=86.36363636363636, ratio=86.36363636363636
5;0.909;2;21095645;group;Kunsthandel Van Delden;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.8481;Kunsthandel van Gelder;Gelder, Kunsthandel Van;Gelder, Kunsthandel Van;false;fuzzy token_set=90.9090909090909, ratio=90.9090909090909
5;0.857;3;21095645;group;Kunsthandel Van Delden;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.725;Kunsthandel van Lier;Lier, Kunsthandel van;Lier, Kunsthandel van;false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
5;0.903;3;311144700;organisation;Kunsthandel Wim de Boer;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.1970;Kunsthandel M.L. de Boer;Boer, Kunsthandel M.L. de;Boer, Kunsthandel M.L. de;false;fuzzy token_set=91.30434782608695, ratio=89.36170212765957
5;0.919;3;311144700;organisation;Kunsthandel Wim de Boer;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.58618;Kunsthandel P. De Boer;Boer, Kunsthandel De;"Boer, Kunsthandel De; Kunsthandel P. de Boer (I)";false;fuzzy token_set=95.0, ratio=88.88888888888889
5;0.919;3;311144700;organisation;Kunsthandel Wim de Boer;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.58618;Kunsthandel P. De Boer;Kunsthandel P. de Boer (I);"Boer, Kunsthandel De; Kunsthandel P. de Boer (I)";false;fuzzy token_set=95.0, ratio=88.88888888888889
5;0.905;2;210915;group;Kunsthandel van Lier;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.16245;Kunsthandel Van Iperen;Iperen, Kunsthandel Van;Iperen, Kunsthandel Van;false;fuzzy token_set=90.47619047619048, ratio=90.47619047619048
5;0.905;2;210915;group;Kunsthandel van Lier;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.8481;Kunsthandel van Gelder;Gelder, Kunsthandel Van;Gelder, Kunsthandel Van;false;fuzzy token_set=90.47619047619048, ratio=90.47619047619048
5;0.896;5;311188186;organisation;Marburger Photographische Gesellschaft;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.16898;Neue Photographische Gesellschaft;N.P.G.A.G.;N.P.G.A.G.;false;fuzzy token_set=91.80327868852459, ratio=87.32394366197182
5;0.936;3;31175662;organisation;Meester van Gouda;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.107906;Meester van Gouda (II);Second Gouda Woodcutter, The;Second Gouda Woodcutter, The;false;fuzzy token_set=100.0, ratio=87.17948717948718
