id,place_name,label_en,label_nl,external_id,category,artwork_count
2305911,"Leeuw van Waterloo",,"Leeuw van Waterloo",,no_external_id__used,27
23013513,Haarlemmerplein,,Haarlemmerplein,,no_external_id__used,27
230596,Sont,,Sont,,no_external_id__used,27
23014593,Rheinfall,,Rheinfall,,no_external_id__used,27
2301282,"Kasteel Groeneveld",,"Kasteel Groeneveld",,no_external_id__used,27
2302099,Hampstead,,Hampstead,,no_external_id__used,27
2306378,Barbados,,Barbados,,no_external_id__used,27
2307633,"Huis Leeuwenburg",,"Huis Leeuwenburg",,no_external_id__used,27
2306957,"Nieuwe Maas",,"Nieuwe Maas",,no_external_id__used,26
23012545,Marekerk,,Marekerk,,no_external_id__used,26
23017233,Congreskolom,,Congreskolom,,no_external_id__used,26
2301383,"Limbourg [stad]",,"Limbourg [stad]",,no_external_id__used,26
23013465,"Nieuwe Spiegelstraat",,"Nieuwe Spiegelstraat",,no_external_id__used,26
23017712,"Stadhuis van Manchester",,"Stadhuis van Manchester",,no_external_id__used,26
2308570,"Porta San Paolo",,"Porta San Paolo",,no_external_id__used,26
23011087,Tafelberg,,Tafelberg,,no_external_id__used,26
2301681,Bezuidenhout,,Bezuidenhout,,no_external_id__used,26
23012158,"Het Park",,"Het Park",,no_external_id__used,26
230857,"Servië",,"Servië",,no_external_id__used,26
2308683,"Sint Antoniesbreestraat",,"Sint Antoniesbreestraat",,no_external_id__used,26
23012168,Heerenstraat,,Heerenstraat,,no_external_id__used,26
2308065,"Hoogduitse Synagoge",,"Hoogduitse Synagoge",,no_external_id__used,26
2306738,Arizona,,Arizona,,no_external_id__used,26
2307371,Doelenstraat,,Doelenstraat,,no_external_id__used,26
23012951,Spaarndammerdijk,,Spaarndammerdijk,,no_external_id__used,26
23010213,Koppelpoort,,Koppelpoort,,no_external_id__used,25
2302043,"Schans Sint-Andries",,"Schans Sint-Andries",,no_external_id__used,25
2305658,"Kuala Lumpur",,"Kuala Lumpur",,no_external_id__used,25
23020153,"Kasteel Neurenberg",,"Kasteel Neurenberg",,no_external_id__used,25
23012667,"Paleis van de Gouverneur-Generaal",,"Paleis van de Gouverneur-Generaal",,no_external_id__used,25
2301000,"La Belle Alliance",,"La Belle Alliance",,no_external_id__used,25
23011469,Vondelkerk,,Vondelkerk,,no_external_id__used,25
23013363,"Grote Synagoge",,"Grote Synagoge",,no_external_id__used,25
2301273,Kartuizerklooster,,Kartuizerklooster,,no_external_id__used,25
230651,Diksmuide,,Diksmuide,,no_external_id__used,25
2309379,Moldau,,Moldau,,no_external_id__used,25
23011160,Guayaquil,,Guayaquil,,no_external_id__used,25
2308031,Spiegelgracht,,Spiegelgracht,,no_external_id__used,25
23018509,"Palazzo del Te",,"Palazzo del Te",,no_external_id__used,25
23010338,"Tempel van Castor en Pollux (Rome)",,"Tempel van Castor en Pollux (Rome)",,no_external_id__used,25
23014105,Sint-Lievensmonsterkerk,,Sint-Lievensmonsterkerk,,no_external_id__used,25
23022069,VOC-scheepswerf,,VOC-scheepswerf,,no_external_id__used,25
2301615,Oostkerk,,Oostkerk,,no_external_id__used,25
23025437,Sandbergvleugel,,Sandbergvleugel,,no_external_id__used,25
23015650,"Palazzo Senatorio",,"Palazzo Senatorio",,no_external_id__used,25
2307260,"Oude Waal",,"Oude Waal",,no_external_id__used,25
2307292,Houtgracht,,Houtgracht,,no_external_id__used,25
